"ensembl_gene_id","hgnc_symbol","OverExpressed","Compound","TimePoint"
"ENSG00000139269","INHBE","TRUE","26",6
"ENSG00000135069","PSAT1","TRUE","26",6
"ENSG00000101255","TRIB3","TRUE","26",6
"ENSG00000172164","SNTB1","TRUE","26",6
"ENSG00000196517","SLC6A9","TRUE","26",6
"ENSG00000151012","SLC7A11","TRUE","26",6
"ENSG00000130766","SESN2","TRUE","26",6
"ENSG00000116761","CTH","TRUE","26",6
"ENSG00000135842","FAM129A","TRUE","26",6
"ENSG00000100889","PCK2","TRUE","26",6
"ENSG00000128965","CHAC1","TRUE","26",6
"ENSG00000162772","ATF3","TRUE","26",6
"ENSG00000070669","ASNS","TRUE","26",6
"ENSG00000146733","PSPH","TRUE","26",6
"ENSG00000166123","GPT2","TRUE","26",6
"ENSG00000172216","CEBPB","TRUE","26",6
"ENSG00000082641","NFE2L1","TRUE","26",6
"ENSG00000187840","EIF4EBP1","TRUE","26",6
"ENSG00000175197","DDIT3","TRUE","26",6
"ENSG00000155961","RAB39B","TRUE","26",6
"ENSG00000174951","FUT1","TRUE","26",6
"ENSG00000169710","FASN","FALSE","26",6
"ENSG00000150051","MKX","TRUE","26",6
"ENSG00000060982","BCAT1","TRUE","26",6
"ENSG00000065911","MTHFD2","TRUE","26",6
"ENSG00000136010","ALDH1L2","TRUE","26",6
"ENSG00000153879","CEBPG","TRUE","26",6
"ENSG00000007237","GAS7","TRUE","26",6
"ENSG00000113739","STC2","TRUE","26",6
"ENSG00000141682","PMAIP1","TRUE","26",6
"ENSG00000092621","PHGDH","TRUE","26",6
"ENSG00000105281","SLC1A5","TRUE","26",6
"ENSG00000106105","GARS","TRUE","26",6
"ENSG00000134594","RAB33A","TRUE","26",6
"ENSG00000149150","SLC43A1","TRUE","26",6
"ENSG00000140105","WARS","TRUE","26",6
"ENSG00000215218","UBE2QL1","TRUE","26",6
"ENSG00000157514","TSC22D3","TRUE","26",6
"ENSG00000103257","SLC7A5","TRUE","26",6
"ENSG00000135245","HILPDA","FALSE","26",6
"ENSG00000187735","TCEA1","TRUE","26",6
"ENSG00000181222","POLR2A","FALSE","26",6
"ENSG00000120889","TNFRSF10B","TRUE","26",6
"ENSG00000168003","SLC3A2","TRUE","26",6
"ENSG00000151883","PARP8","TRUE","26",6
"ENSG00000114268","PFKFB4","FALSE","26",6
"ENSG00000110619","CARS","TRUE","26",6
"ENSG00000139514","SLC7A1","TRUE","26",6
"ENSG00000172432","GTPBP2","TRUE","26",6
"ENSG00000109971","HSPA8","FALSE","26",6
"ENSG00000139269","INHBE","TRUE","13",6
"ENSG00000135069","PSAT1","TRUE","13",6
"ENSG00000151012","SLC7A11","TRUE","13",6
"ENSG00000172164","SNTB1","TRUE","13",6
"ENSG00000196517","SLC6A9","TRUE","13",6
"ENSG00000101255","TRIB3","TRUE","13",6
"ENSG00000116761","CTH","TRUE","13",6
"ENSG00000130766","SESN2","TRUE","13",6
"ENSG00000135842","FAM129A","TRUE","13",6
"ENSG00000070669","ASNS","TRUE","13",6
"ENSG00000146733","PSPH","TRUE","13",6
"ENSG00000162772","ATF3","TRUE","13",6
"ENSG00000128965","CHAC1","TRUE","13",6
"ENSG00000100889","PCK2","TRUE","13",6
"ENSG00000166123","GPT2","TRUE","13",6
"ENSG00000082641","NFE2L1","TRUE","13",6
"ENSG00000136010","ALDH1L2","TRUE","13",6
"ENSG00000172216","CEBPB","TRUE","13",6
"ENSG00000065911","MTHFD2","TRUE","13",6
"ENSG00000155961","RAB39B","TRUE","13",6
"ENSG00000141682","PMAIP1","TRUE","13",6
"ENSG00000153879","CEBPG","TRUE","13",6
"ENSG00000150051","MKX","TRUE","13",6
"ENSG00000113739","STC2","TRUE","13",6
"ENSG00000007237","GAS7","TRUE","13",6
"ENSG00000106105","GARS","TRUE","13",6
"ENSG00000060982","BCAT1","TRUE","13",6
"ENSG00000174951","FUT1","TRUE","13",6
"ENSG00000169710","FASN","FALSE","13",6
"ENSG00000105281","SLC1A5","TRUE","13",6
"ENSG00000151883","PARP8","TRUE","13",6
"ENSG00000187840","EIF4EBP1","TRUE","13",6
"ENSG00000092621","PHGDH","TRUE","13",6
"ENSG00000135245","HILPDA","FALSE","13",6
"ENSG00000140105","WARS","TRUE","13",6
"ENSG00000180628","PCGF5","TRUE","13",6
"ENSG00000187735","TCEA1","TRUE","13",6
"ENSG00000103257","SLC7A5","TRUE","13",6
"ENSG00000114268","PFKFB4","FALSE","13",6
"ENSG00000175197","DDIT3","TRUE","13",6
"ENSG00000139514","SLC7A1","TRUE","13",6
"ENSG00000184575","XPOT","TRUE","13",6
"ENSG00000120889","TNFRSF10B","TRUE","13",6
"ENSG00000134594","RAB33A","TRUE","13",6
"ENSG00000149150","SLC43A1","TRUE","13",6
"ENSG00000215218","UBE2QL1","TRUE","13",6
"ENSG00000181222","POLR2A","FALSE","13",6
"ENSG00000198948","MFAP3L","TRUE","13",6
"ENSG00000167772","ANGPTL4","FALSE","13",6
"ENSG00000144481","TRPM8","TRUE","13",6
"ENSG00000205730","ITPRIPL2","FALSE","18",6
"ENSG00000130589","HELZ2","FALSE","18",6
"ENSG00000197601","FAR1","FALSE","18",6
"ENSG00000119969","HELLS","FALSE","18",6
"ENSG00000151239","TWF1","FALSE","18",6
"ENSG00000132510","KDM6B","FALSE","18",6
"ENSG00000149212","SESN3","FALSE","18",6
"ENSG00000155744","FAM126B","FALSE","18",6
"ENSG00000164187","LMBRD2","FALSE","18",6
"ENSG00000080345","RIF1","FALSE","18",6
"ENSG00000176018","LYSMD3","FALSE","18",6
"ENSG00000155545","MIER3","FALSE","18",6
"ENSG00000165997","ARL5B","FALSE","18",6
"ENSG00000164327","RICTOR","FALSE","18",6
"ENSG00000063245","EPN1","FALSE","18",6
"ENSG00000178951","ZBTB7A","FALSE","18",6
"ENSG00000172780","RAB43","FALSE","18",6
"ENSG00000203668","CHML","FALSE","18",6
"ENSG00000166479","TMX3","FALSE","18",6
"ENSG00000076201","PTPN23","FALSE","18",6
"ENSG00000196517","SLC6A9","FALSE","18",6
"ENSG00000138778","CENPE","FALSE","18",6
"ENSG00000166128","RAB8B","FALSE","18",6
"ENSG00000197136","PCNXL3","FALSE","18",6
"ENSG00000178209","PLEC","FALSE","18",6
"ENSG00000130475","FCHO1","FALSE","18",6
"ENSG00000155100","OTUD6B","FALSE","18",6
"ENSG00000156103","MMP16","FALSE","18",6
"ENSG00000160781","PAQR6","FALSE","18",6
"ENSG00000113594","LIFR","FALSE","18",6
"ENSG00000116750","UCHL5","FALSE","18",6
"ENSG00000141510","TP53","FALSE","18",6
"ENSG00000109133","TMEM33","FALSE","18",6
"ENSG00000125848","FLRT3","FALSE","18",6
"ENSG00000198198","SZT2","FALSE","18",6
"ENSG00000146067","FAM193B","FALSE","18",6
"ENSG00000109184","DCUN1D4","FALSE","18",6
"ENSG00000181408","UTS2R","FALSE","18",6
"ENSG00000134352","IL6ST","FALSE","18",6
"ENSG00000107140","TESK1","FALSE","18",6
"ENSG00000079313","REXO1","FALSE","18",6
"ENSG00000184678","HIST2H2BE","FALSE","18",6
"ENSG00000114120","SLC25A36","FALSE","18",6
"ENSG00000165156","ZHX1","FALSE","18",6
"ENSG00000188725","SMIM15","FALSE","18",6
"ENSG00000110400","PVRL1","FALSE","18",6
"ENSG00000120992","LYPLA1","FALSE","18",6
"ENSG00000107331","ABCA2","FALSE","18",6
"ENSG00000177485","ZBTB33","FALSE","18",6
"ENSG00000128965","CHAC1","TRUE","26",24
"ENSG00000101255","TRIB3","TRUE","26",24
"ENSG00000130766","SESN2","TRUE","26",24
"ENSG00000139269","INHBE","TRUE","26",24
"ENSG00000151012","SLC7A11","TRUE","26",24
"ENSG00000135069","PSAT1","TRUE","26",24
"ENSG00000140105","WARS","TRUE","26",24
"ENSG00000135842","FAM129A","TRUE","26",24
"ENSG00000172164","SNTB1","TRUE","26",24
"ENSG00000116133","DHCR24","FALSE","26",24
"ENSG00000070669","ASNS","TRUE","26",24
"ENSG00000082641","NFE2L1","TRUE","26",24
"ENSG00000196517","SLC6A9","TRUE","26",24
"ENSG00000116761","CTH","TRUE","26",24
"ENSG00000169710","FASN","FALSE","26",24
"ENSG00000172216","CEBPB","TRUE","26",24
"ENSG00000175197","DDIT3","TRUE","26",24
"ENSG00000135074","ADAM19","FALSE","26",24
"ENSG00000162772","ATF3","TRUE","26",24
"ENSG00000144485","HES6","FALSE","26",24
"ENSG00000144481","TRPM8","TRUE","26",24
"ENSG00000130707","ASS1","TRUE","26",24
"ENSG00000260916","CCPG1","TRUE","26",24
"ENSG00000160867","FGFR4","FALSE","26",24
"ENSG00000105281","SLC1A5","TRUE","26",24
"ENSG00000100889","PCK2","TRUE","26",24
"ENSG00000187735","TCEA1","TRUE","26",24
"ENSG00000106105","GARS","TRUE","26",24
"ENSG00000136010","ALDH1L2","TRUE","26",24
"ENSG00000176956","LY6H","FALSE","26",24
"ENSG00000092621","PHGDH","TRUE","26",24
"ENSG00000060982","BCAT1","TRUE","26",24
"ENSG00000131016","AKAP12","FALSE","26",24
"ENSG00000088305","DNMT3B","FALSE","26",24
"ENSG00000152661","GJA1","FALSE","26",24
"ENSG00000150051","MKX","TRUE","26",24
"ENSG00000168159","RNF187","TRUE","26",24
"ENSG00000170442","KRT86","TRUE","26",24
"ENSG00000187840","EIF4EBP1","TRUE","26",24
"ENSG00000166123","GPT2","TRUE","26",24
"ENSG00000205426","KRT81","TRUE","26",24
"ENSG00000133083","DCLK1","FALSE","26",24
"ENSG00000168003","SLC3A2","TRUE","26",24
"ENSG00000167996","FTH1","TRUE","26",24
"ENSG00000196549","MME","FALSE","26",24
"ENSG00000153879","CEBPG","TRUE","26",24
"ENSG00000072274","TFRC","FALSE","26",24
"ENSG00000143195","ILDR2","FALSE","26",24
"ENSG00000189057","FAM111B","FALSE","26",24
"ENSG00000155961","RAB39B","TRUE","26",24
"ENSG00000128965","CHAC1","TRUE","13",24
"ENSG00000135069","PSAT1","TRUE","13",24
"ENSG00000070669","ASNS","TRUE","13",24
"ENSG00000130707","ASS1","TRUE","13",24
"ENSG00000130766","SESN2","TRUE","13",24
"ENSG00000140105","WARS","TRUE","13",24
"ENSG00000139269","INHBE","TRUE","13",24
"ENSG00000101255","TRIB3","TRUE","13",24
"ENSG00000151012","SLC7A11","TRUE","13",24
"ENSG00000196517","SLC6A9","TRUE","13",24
"ENSG00000172164","SNTB1","TRUE","13",24
"ENSG00000116761","CTH","TRUE","13",24
"ENSG00000116133","DHCR24","FALSE","13",24
"ENSG00000092621","PHGDH","TRUE","13",24
"ENSG00000169710","FASN","FALSE","13",24
"ENSG00000135842","FAM129A","TRUE","13",24
"ENSG00000150051","MKX","TRUE","13",24
"ENSG00000260916","CCPG1","TRUE","13",24
"ENSG00000082641","NFE2L1","TRUE","13",24
"ENSG00000106105","GARS","TRUE","13",24
"ENSG00000187840","EIF4EBP1","TRUE","13",24
"ENSG00000135074","ADAM19","FALSE","13",24
"ENSG00000100889","PCK2","TRUE","13",24
"ENSG00000167996","FTH1","TRUE","13",24
"ENSG00000131016","AKAP12","FALSE","13",24
"ENSG00000160867","FGFR4","FALSE","13",24
"ENSG00000205426","KRT81","TRUE","13",24
"ENSG00000031698","SARS","TRUE","13",24
"ENSG00000105281","SLC1A5","TRUE","13",24
"ENSG00000235173","FAM203A","FALSE","13",24
"ENSG00000187735","TCEA1","TRUE","13",24
"ENSG00000172216","CEBPB","TRUE","13",24
"ENSG00000168159","RNF187","TRUE","13",24
"ENSG00000143195","ILDR2","FALSE","13",24
"ENSG00000144485","HES6","FALSE","13",24
"ENSG00000170442","KRT86","TRUE","13",24
"ENSG00000092853","CLSPN","FALSE","13",24
"ENSG00000088305","DNMT3B","FALSE","13",24
"ENSG00000148773","MKI67","FALSE","13",24
"ENSG00000060982","BCAT1","TRUE","13",24
"ENSG00000100292","HMOX1","FALSE","13",24
"ENSG00000171320","ESCO2","FALSE","13",24
"ENSG00000136010","ALDH1L2","TRUE","13",24
"ENSG00000065911","MTHFD2","TRUE","13",24
"ENSG00000146733","PSPH","TRUE","13",24
"ENSG00000165238","WNK2","FALSE","13",24
"ENSG00000075702","WDR62","FALSE","13",24
"ENSG00000183230","CTNNA3","TRUE","13",24
"ENSG00000187608","ISG15","TRUE","13",24
"ENSG00000176956","LY6H","FALSE","13",24
