SampleName,CellType,Compound,TimePoint,Repeat,Well,FluorescencePrestoBlue,FluorescenceCyQUANT,,,,,,,,,,,,,
WT_DMSO_t6_r1,WT,DMSO,6,1,A1,129671,206623,,,,,,,,,,,,,
WT_DMSO_t6_r2,WT,DMSO,6,2,A2,168296,155350,,,,,,,,,,,,,
WT_DMSO_t6_r3,WT,DMSO,6,3,A3,140446,126668,,,,,,,,,,,,,
WT_carf_t6_r1,WT,carf,6,1,B1,161441,113244,,,,,,,,,,,,,
WT_carf_t6_r2,WT,carf,6,2,B2,104808,113216,,,,,,,,,,,,,
WT_carf_t6_r3,WT,carf,6,3,B3,135941,84155,,,,,,,,,,,,,
WT_26_t6_r1,WT,26,6,1,C1,157533,126906,,,,,,,,,,,,,
WT_26_t6_r2,WT,26,6,2,C2,129839,101981,,,,,,,,,,,,,
WT_26_t6_r3,WT,26,6,3,C3,135951,86023,,,,,,,,,,,,,
WT_22_t6_r1,WT,22,6,1,D1,123401,113608,,,,,,,,,,,,,
WT_22_t6_r2,WT,22,6,2,D2,141056,110348,,,,,,,,,,,,,
WT_22_t6_r3,WT,22,6,3,D3,132968,110244,,,,,,,,,,,,,
WT_13_t6_r1,WT,13,6,1,E1,120863,126571,,,,,,,,,,,,,
WT_13_t6_r2,WT,13,6,2,E2,125968,96004,,,,,,,,,,,,,
WT_13_t6_r3,WT,13,6,3,E3,115920,103294,,,,,,,,,,,,,
WT_18_t6_r1,WT,18,6,1,F1,165604,133392,,,,,,,,,,,,,
WT_18_t6_r2,WT,18,6,2,F2,162530,110399,,,,,,,,,,,,,
WT_18_t6_r3,WT,18,6,3,F3,133235,93750,,,,,,,,,,,,,
WT_DMSO_t24_r1,WT,DMSO,24,1,A1,129894,64953,,,,,,,,,,,,,
WT_DMSO_t24_r2,WT,DMSO,24,2,A2,133989,90372,,,,,,,,,,,,,
WT_DMSO_t24_r3,WT,DMSO,24,3,A3,148777,77399,,,,,,,,,,,,,
