,CellType,Compound,TimePoint
WT_DMSO_t6_r1,WT,DMSO,6
WT_DMSO_t6_r2,WT,DMSO,6
WT_DMSO_t6_r3,WT,DMSO,6
WT_carf_t6_r1,WT,carf,6
WT_carf_t6_r2,WT,carf,6
WT_carf_t6_r3,WT,carf,6
WT_26_t6_r1,WT,26,6
WT_26_t6_r2,WT,26,6
WT_26_t6_r3,WT,26,6
WT_22_t6_r1,WT,22,6
WT_22_t6_r2,WT,22,6
WT_22_t6_r3,WT,22,6
WT_13_t6_r1,WT,13,6
WT_13_t6_r2,WT,13,6
WT_13_t6_r3,WT,13,6
WT_18_t6_r1,WT,18,6
WT_18_t6_r2,WT,18,6
WT_18_t6_r3,WT,18,6
WT_DMSO_t24_r1,WT,DMSO,24
WT_DMSO_t24_r2,WT,DMSO,24
WT_DMSO_t24_r3,WT,DMSO,24
WT_carf_t24_r1,WT,carf,24
WT_carf_t24_r2,WT,carf,24
WT_carf_t24_r3,WT,carf,24
WT_26_t24_r1,WT,26,24
WT_26_t24_r2,WT,26,24
WT_26_t24_r3,WT,26,24
WT_22_t24_r1,WT,22,24
WT_22_t24_r2,WT,22,24
WT_22_t24_r3,WT,22,24
WT_13_t24_r1,WT,13,24
WT_13_t24_r2,WT,13,24
WT_13_t24_r3,WT,13,24
WT_18_t24_r1,WT,18,24
WT_18_t24_r2,WT,18,24
WT_18_t24_r3,WT,18,24
